Tag	1_lambda	BioSample	BioSpecimen	Chao1	Chao1_LB	Chao1_UL	Hprime	Molecule	MoleculeType	Obs	Site	WGS_Hprime	qD	site_norm
SRS017930	2.6677989090786	SRS017930	700035251	555.013888888889	445.791048972594	729.50047572514	2.14900175805149	DNA	G	263	L_Retroauricular crease		263	left_retroauricular_crease
SRS063658	9.16795543601246	SRS063658	700111447	1874.06349206349	1645.23928695293	2168.7301645968	4.36799466069909	DNA	G	850	Buccal mucosa		850	buccal_mucosa
SRS044555	24.8951044687105	SRS044555	700103569	2304.01290322581	2051.92504326359	2620.95091634737	4.78683604598867	DNA	G	1072	Attached/Keratinized gingiva		1072	attached_keratinized_gingiva
SRS017749	391.635576521168	SRS017749	700034842	2857.40625	2567.07813888667	3211.49035981217	6.66646634150803	DNA	G	1245	Saliva		1245	saliva
SRS016375	21.6274579907043	SRS016375	700032039	1410.0202020202	1230.25272524841	1650.27655264822	4.61681824439157	DNA	G	696	R_Antecubital fossa		696	right_antecubital_fossa
SRS045379	16.2026466353136	SRS045379	700038398	2428.02884615385	2171.47632013829	2750.1725548252	4.23224248361443	DNA	G	1168	Attached/Keratinized gingiva		1168	attached_keratinized_gingiva
SRS062952	58.0097366564844	SRS062952	700114008	2394.10572687225	2189.78049173193	2644.82983606993	5.41933283547498	DNA	G	1290	Throat		1290	throat
SRS015591	2.12559010132681	SRS015591	700024246	845.75	697.36403628748	1062.86525830517	2.0102918258596	DNA	G	377	Hard palate		377	hard_palate
SRS013089	184.399492148617	SRS013089	700015660	3415.33482142857	3172.20621255923	3703.44230795489	6.5269957193167	DNA	G	1858	Subgingival plaque		1858	subgingival_plaque
SRS014692	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA
SRS016144	7.65912738946447	SRS016144	700024801	168.642857142857	102.71576942679	336.321147120919	2.81686386750745	DNA	G	60	R_Retroauricular crease		60	right_retroauricular_crease
SRS049692	74.4201869438789	SRS049692	700109186	1987.74203821656	1795.41160376431	2231.99610195999	5.36889895243433	DNA	G	1083	Subgingival plaque		1083	subgingival_plaque
SRS053040	105.158901322483	SRS053040	700108534	3618.34615384615	3256.39687250179	4054.63015758465	6.10363625532282	DNA	G	1494	Saliva		1494	saliva
SRS065033	20.8146353400633	SRS065033	700110595	2229.5	1999.19745942577	2517.50424508946	4.79212264972232	DNA	G	1080	Buccal mucosa		1080	buccal_mucosa
SRS046830	12.5589493402739	SRS046830	700105418	530.391304347826	448.816528590503	658.236450451838	3.37980901081485	DNA	G	305	Posterior fornix		305	posterior_fornix
SRS019877	47.3391984592158	SRS019877	700038353	1753.23703703704	1563.31445400562	1998.1189270366	5.29758149535105	DNA	G	907	Subgingival plaque		907	subgingival_plaque
SRS015440	128.107723623065	SRS015440	700024095	2958.43076923077	2730.35245976436	3234.21816100648	5.93481890104385	DNA	G	1640	Supragingival plaque		1640	supragingival_plaque
SRS062746	29.2764943446106	SRS062746	700114857	942.5	798.061115179741	1149.01863908448	4.41717657073873	DNA	G	462	R_Retroauricular crease		462	right_retroauricular_crease
SRS048759	207.1933603913	SRS048759	700105574	2827.04166666667	2528.5014081686	3193.17858102867	6.42296395998453	DNA	G	1210	Buccal mucosa		1210	buccal_mucosa
SRS062489	193.003554652786	SRS062489	700110353	1495.44680851064	1274.97965840037	1789.00756932573	5.96601999026397	DNA	G	610	Stool		610	stool
SRS013484	90.6348310075022	SRS013484	700016464	1782.27419354839	1513.559653419	2137.51041463985	5.50410430521347	DNA	G	679	Buccal mucosa		679	buccal_mucosa
SRS054170	6.68763321883189	SRS054170	700105988	604.156862745098	511.183558727612	745.91593064498	3.04573739437809	DNA	G	334	Vaginal introitus		334	vaginal_introitus
SRS021240	16.5215283155165	SRS021240	700096886	746.086956521739	641.891659133077	896.699727873141	4.07732586145795	DNA	G	408	Posterior fornix		408	posterior_fornix
SRS014523	17.3339526728732	SRS014523	700023177	555.236842105263	506.863160911212	629.083335349896	4.00184960227401	DNA	G	415	Posterior fornix		415	posterior_fornix
SRS260328	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA
SRS063246	246.075516634004	SRS063246	700114176	2843.61520737327	2580.09586944271	3164.99862369252	6.42747486247645	DNA	G	1380	Supragingival plaque		1380	supragingival_plaque
SRS023354	6.53528431036747	SRS023354	700099520	1501.44705882353	1265.62523598349	1818.26201913243	3.27200124021669	DNA	G	579	Buccal mucosa		579	buccal_mucosa
SRS013033	74.450381949201	SRS013033	700015428	2698.33829787234	2470.37709047191	2976.10538327605	5.63506850060617	DNA	G	1427	Tongue dorsum		1427	tongue_dorsum
SRS055907	151.284063614785	SRS055907	700103279	2476.79820627803	2261.21596514791	2741.13718710823	6.22160378757602	DNA	G	1308	Saliva		1308	saliva
SRS056962	10.1626169152863	SRS056962	700105146	744.965517241379	635.805459626433	906.204394120313	3.88187678499879	DNA	G	407	R_Retroauricular crease		407	right_retroauricular_crease
SRS013125	126.572314597046	SRS013125	700015741	2088.5	1912.64552646155	2308.42914471813	5.87217643762006	DNA	G	1211	Subgingival plaque		1211	subgingival_plaque
SRS048141	56.6705785442398	SRS048141	700105671	2511.75531914894	2263.7182323155	2818.51277043461	5.46783032550588	DNA	G	1216	Buccal mucosa		1216	buccal_mucosa
SRS018560	1.93972427059955	SRS018560	700037027	14	NA	NA	1.23529357717811	DNA	G	14	L_Retroauricular crease		14	left_retroauricular_crease
SRS015684	83.0050666297747	SRS015684	700024339	1834.52380952381	1681.27747034416	2027.96413471859	5.62229915699925	DNA	G	1097	Saliva		1097	saliva
SRS016078	25.7802862326144	SRS016078	700024735	246.48	203.146822847159	328.020412806692	3.9951572406555	DNA	G	154	L_Antecubital fossa		154	left_antecubital_fossa
SRS017629	204.701629735826	SRS017629	700034629	4710.46762589928	4287.86425366929	5209.29974673921	6.67164738516972	DNA	G	1945	Hard palate		1945	hard_palate
SRS024612	41.3934291275501	SRS024612	700101903	1999.01470588235	1761.89428817334	2301.59846788031	5.18203861885285	DNA	G	903	Tongue dorsum		903	tongue_dorsum
SRS024558	39.2924763057341	SRS024558	700101849	1352.77586206897	1187.71662025593	1570.45955564178	5.29637195787837	DNA	G	670	Attached/Keratinized gingiva		670	attached_keratinized_gingiva
SRS017633	6.42729476965708	SRS017633	700034633	1664.47950819672	1457.67296481442	1932.85307455531	3.46853810674515	DNA	G	763	Throat		763	throat
SRS062640	24.7735460027232	SRS062640	700113071	754.255102040816	618.081704843637	957.59410195232	4.47977088573113	DNA	G	342	Anterior nares		342	anterior_nares
SRS064497	140.878759547708	SRS064497	700114709	2950.62727272727	2674.84738002203	3286.06493342291	6.07012524061525	DNA	G	1400	Tongue dorsum		1400	tongue_dorsum
SRS021349	23.0620758996314	SRS021349	700097007	2756.02293577982	2353.42973498421	3271.53095321647	4.76066262501675	DNA	G	918	Hard palate		918	hard_palate
SRS021963	3.58590537309704	SRS021963	700097703	877.076923076923	743.129426491372	1069.06461352295	2.73825673024045	DNA	G	434	R_Retroauricular crease		434	right_retroauricular_crease
SRS017013	45.552570560671	SRS017013	700033526	2119	1835.28444692731	2483.99978944043	4.98404748099492	DNA	G	845	Buccal mucosa		845	buccal_mucosa
SRS046137	22.2821500873819	SRS046137	700106003	2701.22321428571	2459.7298372108	2995.94052411353	5.11709954570337	DNA	G	1364	Hard palate		1364	hard_palate
SRS017979	37.7493030932391	SRS017979	700035303	2005	1777.306136861	2293.30899622039	5.55396226701478	DNA	G	922	Tongue dorsum		922	tongue_dorsum
SRS023169	152.251004159239	SRS023169	700099300	3013.67272727273	2820.09255699224	3245.293264481	6.28678992734474	DNA	G	1835	Supragingival plaque		1835	supragingival_plaque
SRS023669	8.30362356042206	SRS023669	700099976	770.151162790698	619.739779119971	998.109682494729	3.18070096059974	DNA	G	328	Mid vagina		328	mid_vagina
SRS065027	10.4482485503232	SRS065027	700112000	1440.32323232323	1250.43475920588	1693.42249622941	3.95326947563095	DNA	G	680	R_Retroauricular crease		680	right_retroauricular_crease
SRS015047	7.22314285714286	SRS015047	700023702	127	87.7195433118055	228.698854074049	2.94027768443858	DNA	G	63	L_Retroauricular crease		63	left_retroauricular_crease
SRS054386	66.4218949896871	SRS054386	700108178	1790.69135802469	1496.3770809925	2184.75595730856	5.527964476672	DNA	G	628	R_Antecubital fossa		628	right_antecubital_fossa
SRS057136	51.0692402175821	SRS057136	700109189	1304.625	1100.87301132929	1582.26356455207	5.19118860306778	DNA	G	539	L_Antecubital fossa		539	left_antecubital_fossa
SRS064250	10.4557908552375	SRS064250	700110826	745.535087719298	621.093353765144	928.173484349906	3.62695254193131	DNA	G	355	L_Retroauricular crease		355	left_retroauricular_crease
SRS020696	1.8	SRS020696	700096121	2.5	2.02961364991122	10.4420529299651	0.636514168294813	DNA	G	2	R_Antecubital fossa		2	right_antecubital_fossa
SRS017220	189.152613942844	SRS017220	700033826	2596.30194805195	2289.07156045413	2980.01940016713	6.23174233797774	DNA	G	1055	Palatine Tonsils		1055	palatine_tonsils
SRS049127	79.7987561139502	SRS049127	700038910	1920	1695.32225486755	2209.78627109167	5.53777628683296	DNA	G	920	Throat		920	throat
SRS056527	67.8290019213267	SRS056527	700102593	1635.22580645161	1439.0261172656	1890.01421384093	5.38702003276277	DNA	G	782	Buccal mucosa		782	buccal_mucosa
SRS023362	2	SRS023362	700099528	2	NA	NA	0.693147180559945	DNA	G	2	L_Antecubital fossa		2	left_antecubital_fossa
SRS019649	77.8891028933397	SRS019649	700038120	2152.539408867	1974.70037088504	2374.07985243435	5.50075808663488	DNA	G	1251	Subgingival plaque		1251	subgingival_plaque
SRS012697	2.93175174532003	SRS012697	700014523	681.963768115942	591.459692026018	814.160812897917	2.53107686174946	DNA	G	395	L_Retroauricular crease		395	left_retroauricular_crease
SRS056578	48.3563236434793	SRS056578	700038582	4849.94680851064	4561.83349258103	5184.67272643913	5.73825444392556	DNA	G	2781	Hard palate		2781	hard_palate
SRS017176	9.58270911707788	SRS017176	700033743	1322.54347826087	1142.74352617562	1564.90449039289	4.02788212297165	DNA	G	626	R_Antecubital fossa		626	right_antecubital_fossa
SRS018656	20.0136401876915	SRS018656	700037123	772.880208333333	703.302173435889	872.285958027845	4.20687007596937	DNA	G	541	Stool		541	stool
SRS016824	30.7985621748517	SRS016824	700033145	1294.98684210526	1155.272277298	1481.25864591025	4.57060326230131	DNA	G	736	R_Retroauricular crease		736	right_retroauricular_crease
SRS045354	14.1550346297283	SRS045354	700106288	143	96.8408437463423	252.12058008872	3.46315296956026	DNA	G	63	L_Antecubital fossa		63	left_antecubital_fossa
SRS058794	212.653881082114	SRS058794	700108485	2653.53112840467	2450.46141839611	2900.40221605568	6.41626493262185	DNA	G	1509	Supragingival plaque		1509	supragingival_plaque
SRS049900	79.8317437347891	SRS049900	700107189	963.272727272727	813.908754174287	1175.49679102082	5.33457738857919	DNA	G	459	Stool		459	stool
SRS064778	22.6659677689176	SRS064778	700114907	819.390243902439	718.048680818741	962.814035719325	4.48707947518862	DNA	G	474	Anterior nares		474	anterior_nares
SRS062717	100.306377045571	SRS062717	700110767	2201.21890547264	2013.75409939289	2434.39800894119	5.74948647812033	DNA	G	1245	Subgingival plaque		1245	subgingival_plaque
SRS044159	14.7298167355732	SRS044159	700108175	2722.3658008658	2497.98464778156	2996.30174000843	4.16456373502416	DNA	G	1482	L_Retroauricular crease		1482	left_retroauricular_crease
SRS020637	6.85777127710326	SRS020637	700096062	1176.1038961039	1001.99887219694	1416.39371038869	3.20555816759567	DNA	G	544	R_Retroauricular crease		544	right_retroauricular_crease
SRS047844	26.7998289136014	SRS047844	700106614	175.555555555556	113.596459859087	321.708238898698	3.70761109303743	DNA	G	68	Anterior nares		68	anterior_nares
SRS012933	5.50915424944678	SRS012933	700015173	529.415254237288	480.633002769926	606.651680245908	3.2195956872152	DNA	G	397	Mid vagina		397	mid_vagina
SRS021776	22.0623412074516	SRS021776	700097489	2361.69444444444	2091.30589387985	2699.38445096938	4.85731405805838	DNA	G	1005	Buccal mucosa		1005	buccal_mucosa
SRS022725	242.0167610419	SRS022725	700098681	2150.3954248366	1906.53142644206	2457.75932086821	6.23913642078039	DNA	G	970	Supragingival plaque		970	supragingival_plaque
SRS017392	5.62922203164302	SRS017392	700034098	691.3828125	592.905561248993	835.841634632889	3.23072693975299	DNA	G	382	R_Antecubital fossa		382	right_antecubital_fossa
SRS147436	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA
SRS014791	225.095826089336	SRS014791	700023445	3373.44642857143	3096.13346957796	3707.21676046063	6.41436261346114	DNA	G	1734	Supragingival plaque		1734	supragingival_plaque
SRS063067	258.216801487215	SRS063067	700114605	2523.74222222222	2307.33610108257	2788.86346933496	6.42931812957577	DNA	G	1346	Supragingival plaque		1346	supragingival_plaque
SRS103938	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA
SRS014997	111.851310250023	SRS014997	700023652	1266.03879310345	1132.96032996181	1443.61887115188	5.50156948429987	DNA	G	735	Subgingival plaque		735	subgingival_plaque
SRS046969	183.431720823321	SRS046969	700109330	1433.25446428571	1243.78805409634	1682.37230880599	5.97868888381786	DNA	G	642	Subgingival plaque		642	subgingival_plaque
SRS019982	2.84692811058837	SRS019982	700095227	754.929824561404	639.623343844386	925.035585037221	2.37712073303097	DNA	G	397	L_Retroauricular crease		397	left_retroauricular_crease
SRS015222	18.7027767283717	SRS015222	700023877	481.62962962963	369.57029826802	670.458972895448	4.04670685371581	DNA	G	206	Anterior nares		206	anterior_nares
SRS054078	86.7370002629375	SRS054078	700105319	2286.14240506329	2043.14336860173	2591.55114990605	5.69762046661046	DNA	G	1097	Palatine Tonsils		1097	palatine_tonsils
SRS065183	71.5924883763061	SRS065183	700114809	2898.00602409639	2650.83504866521	3196.95838300546	5.9270468139565	DNA	G	1471	Tongue dorsum		1471	tongue_dorsum
SRS013263	39.2707575734522	SRS013263	700015970	1081.53333333333	898.103016473724	1342.65112837576	4.82019832025469	DNA	G	465	L_Antecubital fossa		465	left_antecubital_fossa
SRS048077	11.7925363610525	SRS048077	700108854	1012.62658227848	875.332918001201	1204.03385246715	4.05085119605129	DNA	G	527	R_Retroauricular crease		527	right_retroauricular_crease
SRS058652	69.9340090076729	SRS058652	700101296	1832.06375838926	1630.35471895815	2088.95185281538	5.56068110561016	DNA	G	893	Tongue dorsum		893	tongue_dorsum
SRS063621	63.1487237738589	SRS063621	700113557	2458.13172043011	2212.52919542513	2762.26786151953	5.60625843151178	DNA	G	1182	Palatine Tonsils		1182	palatine_tonsils
SRS050827	11.5184396432293	SRS050827	700102316	467.083333333333	345.961329043005	675.03313429406	3.46058438829392	DNA	G	177	R_Antecubital fossa		177	right_antecubital_fossa
SRS022540	1	SRS022540	700098445	1	NA	NA	NA	DNA	G	1	L_Antecubital fossa		1	left_antecubital_fossa
SRS017687	67.4810857409499	SRS017687	700034780	2187.97260273973	1924.95911929835	2519.95808228834	5.59944212743482	DNA	G	922	Buccal mucosa		922	buccal_mucosa
SRS013753	41.889677736672	SRS013753	700016912	1552.62857142857	1384.66504028289	1769.68461006529	5.2243002253048	DNA	G	810	Palatine Tonsils		810	palatine_tonsils
SRS022473	24.4643673872144	SRS022473	700098374	1428.13888888889	1237.28348728261	1685.30938127371	4.39562105821342	DNA	G	688	R_Retroauricular crease		688	right_retroauricular_crease
SRS017444	68.0130693207371	SRS017444	700034177	2542.44295302013	2241.3083172819	2919.95376461874	5.50301746419895	DNA	G	1054	Throat		1054	throat
SRS017510	27.1160757474562	SRS017510	700034243	2142.56842105263	1944.82185473271	2389.14445457581	5.11359471264066	DNA	G	1144	Throat		1144	throat
SRS021969	11.835803290952	SRS021969	700097709	780.270408163265	694.10341700263	900.95451889893	3.43025734812162	DNA	G	479	Posterior fornix		479	posterior_fornix
SRS056767	186.493302897042	SRS056767	700101783	1693.8829787234	1502.08848222132	1940.0058678276	6.00805951037128	DNA	G	825	Supragingival plaque		825	supragingival_plaque
SRS052943	63.4820376715898	SRS052943	700108846	3103.03191489362	2773.46894884174	3506.60786001304	5.72762647619075	DNA	G	1306	Hard palate		1306	hard_palate
SRS022400	34.2853516038211	SRS022400	700098275	1534.86486486487	1374.86414880631	1741.00341338984	4.83697611397381	DNA	G	820	Buccal mucosa		820	buccal_mucosa
SRS055206	73.7851546391751	SRS055206	700107196	2041.95081967213	1775.6019384503	2383.96264869607	5.70668037433109	DNA	G	838	Hard palate		838	hard_palate
SRS015314	9.43754619364375	SRS015314	700023969	373	95.6237063079075	1919.47732673676	2.78775634958819	DNA	G	35	R_Retroauricular crease		35	right_retroauricular_crease
SRS016372	54.2794303226971	SRS016372	700032036	764.615384615385	600.385256678645	1016.30603259321	4.90232912552091	DNA	G	292	L_Antecubital fossa		292	left_antecubital_fossa
SRS057022	46.3679117055402	SRS057022	700110163	2965.03982300885	2525.87263583832	3523.78732545146	5.72200443214053	DNA	G	913	Buccal mucosa	3.58134262632537	913	buccal_mucosa
SRS053502	164.992015254439	SRS053502	700109119	1584.40860215054	1353.3382185529	1891.82762616204	5.85277453407629	DNA	G	654	Supragingival plaque		654	supragingival_plaque
SRS052296	72.8887814095803	SRS052296	700108174	1836.28	1640.66675644549	2085.58529626757	5.63712221550937	DNA	G	928	Subgingival plaque		928	subgingival_plaque
SRS016864	17.7867123903571	SRS016864	700033225	2607.55696202532	2313.40117087182	2974.64561231073	4.70071456172273	DNA	G	1127	Buccal mucosa		1127	buccal_mucosa
SRS053373	27.9661391119519	SRS053373	700102603	1309.65454545455	1160.61731822795	1508.42583849731	4.56122054425607	DNA	G	714	Anterior nares		714	anterior_nares
SRS021032	32.3123041969282	SRS021032	700096579	2821.84482758621	2469.12828004713	3262.78665552583	5.40850783203346	DNA	G	1059	Throat		1059	throat
SRS021710	10.2889104606378	SRS021710	700097423	1412.08080808081	1218.76040144094	1669.53182402597	4.11394682164378	DNA	G	636	Buccal mucosa		636	buccal_mucosa
SRS017177	78.6070567635677	SRS017177	700033744	2245.45923913043	2043.111318102	2498.22473251855	5.37324918947498	DNA	G	1231	Anterior nares		1231	anterior_nares
SRS043243	24.5130921202294	SRS043243	700109116	1299.67826086957	1148.49863405839	1500.16823701801	4.71785432450941	DNA	G	685	Attached/Keratinized gingiva		685	attached_keratinized_gingiva
SRS078257	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA
SRS013933	3.10056258421723	SRS013933	700021288	883.398550724638	764.619875310555	1053.5514164342	2.71426206255995	DNA	G	490	L_Retroauricular crease		490	left_retroauricular_crease
SRS017254	110.10824712529	SRS017254	700033929	2284.95580110497	2056.84268681737	2568.91052218537	5.79213177065172	DNA	G	1125	Hard palate		1125	hard_palate
SRS070521	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA
SRS021591	75.3844136014391	SRS021591	700097303	2058.65789473684	1854.24422684526	2315.54911437965	5.52283579934	DNA	G	1058	Supragingival plaque		1058	supragingival_plaque
SRS022088	5.40387035871617	SRS022088	700097854	481.454545454545	347.233820305266	714.532897741424	3.13167093079092	DNA	G	165	R_Antecubital fossa		165	right_antecubital_fossa
SRS054563	53.0614917241888	SRS054563	700109927	1946	1761.86000307712	2178.72787746804	5.22900779094959	DNA	G	1064	Tongue dorsum		1064	tongue_dorsum
SRS024148	94.5331008321092	SRS024148	700100616	2313	2051.39172381973	2639.7638639615	6.03513044283799	DNA	G	1001	L_Antecubital fossa		1001	left_antecubital_fossa
SRS065683	227.2600929106	SRS065683	700111995	3290.35185185185	2994.34232465345	3646.81751746681	6.45526403022389	DNA	G	1545	Palatine Tonsils		1545	palatine_tonsils
SRS046686	32.0536703562621	SRS046686	700102364	1177.75520833333	1029.97238708206	1378.04094308371	4.58178333171021	DNA	G	614	Buccal mucosa		614	buccal_mucosa
SRS018471	96.4556840195939	SRS018471	700035935	2648.878125	2347.89025108213	3023.76633393206	5.89173073671368	DNA	G	1122	Saliva		1122	saliva
SRS043946	133.754158964879	SRS043946	700105681	778.083333333333	551.86913348801	1151.40131240322	5.16819899707103	DNA	G	204	Anterior nares		204	anterior_nares
SRS051022	7.59830991636472	SRS051022	700102256	541.236363636364	464.511961678606	658.69534415356	3.38449604968291	DNA	G	320	L_Retroauricular crease		320	left_retroauricular_crease
SRS065201	63.8771948255817	SRS065201	700110644	2423.93673469388	2254.41688022762	2632.37360450438	5.54594733272282	DNA	G	1516	Stool		1516	stool
SRS013958	66.5577850483195	SRS013958	700021313	3391.74691358025	3168.009256409	3658.30590767594	5.80220638480914	DNA	G	1999	Hard palate		1999	hard_palate
SRS048274	7.29934503950795	SRS048274	700038694	1971.04848484848	1777.00167263143	2216.25573152077	3.808042248365	DNA	G	1041	L_Retroauricular crease		1041	left_retroauricular_crease
SRS065253	29.7551020408163	SRS065253	700114326	185.5	88.8353348855005	477.502640777562	3.57823016178801	DNA	G	41	L_Antecubital fossa		41	left_antecubital_fossa
SRS021898	61.3528819734504	SRS021898	700097638	2323.02647058824	2080.81894442856	2625.47567315401	5.61433398505014	DNA	G	1107	Hard palate		1107	hard_palate
SRS102817	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA
SRS018059	96.9321750365928	SRS018059	700035383	2931.11342592593	2654.59655604703	3267.90286943208	5.95544584682131	DNA	G	1386	Palatine Tonsils		1386	palatine_tonsils
SRS055017	50.5654535220029	SRS055017	700038956	1553.03082191781	1401.78745146603	1748.70914710764	5.34940752268117	DNA	G	887	Stool		887	stool
SRS047868	44.1628649582828	SRS047868	700038862	990.348837209302	861.870438399126	1168.26766878129	4.98997211422046	DNA	G	528	Throat		528	throat
SRS016301	180.552516003245	SRS016301	700024964	2004.85969387755	1841.95492867737	2209.23294589722	6.10529053975846	DNA	G	1202	Supragingival plaque		1202	supragingival_plaque
SRS021414	55.6063637701124	SRS021414	700097122	1811.26506024096	1518.44864307112	2202.2457539763	5.30757080483023	DNA	G	645	Tongue dorsum		645	tongue_dorsum
SRS024018	77.838565093695	SRS024018	700100480	1141.125	965.01573865478	1388.04101369346	5.27589453949077	DNA	G	527	Attached/Keratinized gingiva		527	attached_keratinized_gingiva
SRS013419	7.80130974704658	SRS013419	700016309	821.387096774194	735.74427927266	942.167127209934	3.55292733111815	DNA	G	527	L_Retroauricular crease		527	left_retroauricular_crease
SRS049562	45.5294549608354	SRS049562	700109191	2338.67213114754	2052.97706787865	2704.54745755959	5.18305695553139	DNA	G	1035	Anterior nares		1035	anterior_nares
SRS013327	91.0634573304155	SRS013327	700016046	649.241379310345	551.313734172527	795.043044279369	5.14540666443517	DNA	G	351	L_Retroauricular crease		351	left_retroauricular_crease
SRS014529	12.8765860891216	SRS014529	700023183	1349.02173913043	1158.55141485813	1605.03059054696	4.15550283965696	DNA	G	605	Hard palate		605	hard_palate
SRS064854	136.464574465176	SRS064854	700114219	3136.76119402985	2877.17438928167	3448.49677200734	6.32154616237422	DNA	G	1585	Saliva		1585	saliva
